eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.8077863455e-01 2.7776162077e-03 2.7776162077e-03
 0.900    1.200   20.0    25.0 9.6165609360e-01 3.4451047279e-03 3.4451047279e-03
 1.200    2.100   20.0    25.0 9.8258358240e-01 1.6685161450e-03 1.6685161450e-03
 2.100    2.400   20.0    25.0 9.7022920847e-01 3.0560739744e-03 3.0560739744e-03
 0.000    0.900   25.0    30.0 9.7974658012e-01 1.0921245196e-03 1.0921245196e-03
 0.900    1.200   25.0    30.0 9.5932346582e-01 2.0701145642e-03 2.0701145642e-03
 1.200    2.100   25.0    30.0 9.8225891590e-01 8.4203788677e-04 8.4203788677e-04
 2.100    2.400   25.0    30.0 9.6970772743e-01 1.7903257963e-03 1.7903257963e-03
 0.000    0.900   30.0    40.0 9.8175621033e-01 3.8002210730e-04 3.8002210730e-04
 0.900    1.200   30.0    40.0 9.6516227722e-01 2.1159935372e-03 2.1159935372e-03
 1.200    2.100   30.0    40.0 9.8445254564e-01 3.2361704636e-04 3.2361704636e-04
 2.100    2.400   30.0    40.0 9.6778661013e-01 9.5911462696e-04 9.5911462696e-04
 0.000    0.900   40.0    50.0 9.8272329569e-01 2.8962642523e-04 2.8962642523e-04
 0.900    1.200   40.0    50.0 9.6798759699e-01 4.9851892122e-04 4.9851892122e-04
 1.200    2.100   40.0    50.0 9.8781627417e-01 2.7356570041e-04 2.7356570041e-04
 2.100    2.400   40.0    50.0 9.7077006102e-01 3.7170760330e-03 3.7170760330e-03
 0.000    0.900   50.0    60.0 9.7958552837e-01 9.0034465783e-04 9.0034465783e-04
 0.900    1.200   50.0    60.0 9.6963727474e-01 1.3756669306e-03 1.3756669306e-03
 1.200    2.100   50.0    60.0 9.8526108265e-01 9.0730085665e-04 9.0730085665e-04
 2.100    2.400   50.0    60.0 9.6776401997e-01 2.7900881074e-03 2.7900881074e-03
 0.000    0.900   60.0   120.0 9.9280488491e-01 2.0355413835e-03 2.0355413835e-03
 0.900    1.200   60.0   120.0 9.6757537127e-01 2.8036196378e-03 2.8036196378e-03
 1.200    2.100   60.0   120.0 9.8893529177e-01 2.0186379564e-03 2.0186379564e-03
 2.100    2.400   60.0   120.0 9.6310722828e-01 5.7816185573e-03 5.7816185573e-03
