eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9477237463e-01 1.5517589837e-03 1.5517589837e-03
 0.900    1.200   20.0    25.0 9.9588334560e-01 2.4243410265e-03 2.4243410265e-03
 1.200    2.100   20.0    25.0 9.9882256985e-01 1.0965440516e-03 1.0965440516e-03
 2.100    2.400   20.0    25.0 9.9249327183e-01 1.9186323751e-03 1.9186323751e-03
 0.000    0.900   25.0    30.0 9.9846988916e-01 7.8060703205e-04 7.8060703205e-04
 0.900    1.200   25.0    30.0 1.0005327463e+00 1.3396029852e-03 1.3396029852e-03
 1.200    2.100   25.0    30.0 1.0006271601e+00 6.6952082714e-04 6.6952082714e-04
 2.100    2.400   25.0    30.0 9.9907279015e-01 1.0969589533e-03 1.0969589533e-03
 0.000    0.900   30.0    40.0 9.9901932478e-01 2.2881787420e-04 2.2881787420e-04
 0.900    1.200   30.0    40.0 1.0002876520e+00 4.2655596257e-04 4.2655596257e-04
 1.200    2.100   30.0    40.0 1.0006532669e+00 2.3700236545e-04 2.3700236545e-04
 2.100    2.400   30.0    40.0 9.9914383888e-01 4.1153706815e-04 4.1153706815e-04
 0.000    0.900   40.0    50.0 9.9893254042e-01 1.0265379130e-04 1.0265379130e-04
 0.900    1.200   40.0    50.0 9.9901014566e-01 5.3718999679e-03 5.3718999679e-03
 1.200    2.100   40.0    50.0 9.9952727556e-01 1.8725208109e-06 1.8725208109e-06
 2.100    2.400   40.0    50.0 9.9969416857e-01 3.3637104211e-03 3.3637104211e-03
 0.000    0.900   50.0    60.0 9.9948310852e-01 1.8242417930e-04 1.8242417930e-04
 0.900    1.200   50.0    60.0 9.9998474121e-01 3.1496313116e-04 3.1496313116e-04
 1.200    2.100   50.0    60.0 9.9947333336e-01 1.8393806518e-04 1.8393806518e-04
 2.100    2.400   50.0    60.0 9.9913769960e-01 4.2167049063e-04 4.2167049063e-04
 0.000    0.900   60.0   120.0 9.9980187416e-01 2.6722261749e-04 2.6722261749e-04
 0.900    1.200   60.0   120.0 1.0000207424e+00 4.6110423356e-04 4.6110423356e-04
 1.200    2.100   60.0   120.0 9.9942165613e-01 2.8080176315e-04 2.8080176315e-04
 2.100    2.400   60.0   120.0 9.9987560511e-01 7.2993040595e-04 7.2993040595e-04
