eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9144661427e-01 1.6132839177e-03 1.6132839177e-03
 0.900    1.200   20.0    25.0 9.9832588434e-01 2.4331387314e-03 2.4331387314e-03
 1.200    2.100   20.0    25.0 1.0005398989e+00 1.0963209931e-03 1.0963209931e-03
 2.100    2.400   20.0    25.0 1.0003343821e+00 1.8699865459e-03 1.8699865459e-03
 0.000    0.900   25.0    30.0 9.9816572666e-01 7.9674354429e-04 7.9674354429e-04
 0.900    1.200   25.0    30.0 1.0004500151e+00 1.4032166855e-03 1.4032166855e-03
 1.200    2.100   25.0    30.0 1.0021343231e+00 6.3507166437e-04 6.3507166437e-04
 2.100    2.400   25.0    30.0 1.0036581755e+00 1.0697325244e-03 1.0697325244e-03
 0.000    0.900   30.0    40.0 9.9853587151e-01 2.3477097994e-04 2.3477097994e-04
 0.900    1.200   30.0    40.0 1.0004332066e+00 4.2681466221e-04 4.2681466221e-04
 1.200    2.100   30.0    40.0 1.0011175871e+00 2.3326816838e-04 2.3326816838e-04
 2.100    2.400   30.0    40.0 1.0009332895e+00 4.0594841328e-04 4.0594841328e-04
 0.000    0.900   40.0    50.0 9.9915826321e-01 8.5866573072e-05 8.5866573072e-05
 0.900    1.200   40.0    50.0 9.9953025579e-01 2.1721682925e-06 2.1721682925e-06
 1.200    2.100   40.0    50.0 9.9968791008e-01 9.5895965804e-05 9.5895965804e-05
 2.100    2.400   40.0    50.0 1.0003777742e+00 6.9094698956e-06 6.9094698956e-06
 0.000    0.900   50.0    60.0 9.9963986874e-01 1.8525135184e-04 1.8525135184e-04
 0.900    1.200   50.0    60.0 9.9955862761e-01 3.1976704632e-04 3.1976704632e-04
 1.200    2.100   50.0    60.0 9.9978518486e-01 1.8236560551e-04 1.8236560551e-04
 2.100    2.400   50.0    60.0 9.9979531765e-01 4.4315372122e-04 4.4315372122e-04
 0.000    0.900   60.0   120.0 9.9984222651e-01 2.6484185211e-04 2.6484185211e-04
 0.900    1.200   60.0   120.0 9.9990272522e-01 4.6591929196e-04 4.6591929196e-04
 1.200    2.100   60.0   120.0 9.9971288443e-01 2.7806701950e-04 2.7806701950e-04
 2.100    2.400   60.0   120.0 1.0006239414e+00 7.3116735020e-04 7.3116735020e-04
