eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.8827219009e-01 2.2062204137e-03 2.2062204137e-03
 0.900    1.200   20.0    25.0 9.9245381355e-01 3.5154627323e-03 3.5154627323e-03
 1.200    2.100   20.0    25.0 9.8986148834e-01 1.6742517226e-03 1.6742517226e-03
 2.100    2.400   20.0    25.0 9.7508651018e-01 2.9349358042e-03 2.9349358042e-03
 0.000    0.900   25.0    30.0 9.9341285229e-01 1.1737197533e-03 1.1737197533e-03
 0.900    1.200   25.0    30.0 1.0005018711e+00 2.0327150273e-03 2.0327150273e-03
 1.200    2.100   25.0    30.0 9.9416631460e-01 9.9085513881e-04 9.9085513881e-04
 2.100    2.400   25.0    30.0 9.8582214117e-01 1.7631593937e-03 1.7631593937e-03
 0.000    0.900   30.0    40.0 9.9385488033e-01 3.8044538556e-04 3.8044538556e-04
 0.900    1.200   30.0    40.0 9.9889940023e-01 6.9222142883e-04 6.9222142883e-04
 1.200    2.100   30.0    40.0 9.9705743790e-01 3.7932778291e-04 3.7932778291e-04
 2.100    2.400   30.0    40.0 9.9247825146e-01 6.8787326819e-04 6.8787326819e-04
 0.000    0.900   40.0    50.0 9.9523788691e-01 2.1308751338e-04 2.1308751338e-04
 0.900    1.200   40.0    50.0 9.9683678150e-01 2.3932611840e-02 2.3932611840e-02
 1.200    2.100   40.0    50.0 9.9744653702e-01 2.0174627604e-04 2.0174627604e-04
 2.100    2.400   40.0    50.0 9.9645364285e-01 3.3881124727e-04 3.3881124727e-04
 0.000    0.900   50.0    60.0 9.9666398764e-01 3.5826704178e-04 3.5826704178e-04
 0.900    1.200   50.0    60.0 9.9914532900e-01 5.9752790051e-04 5.9752790051e-04
 1.200    2.100   50.0    60.0 9.9790078402e-01 3.3600282214e-04 3.3600282214e-04
 2.100    2.400   50.0    60.0 9.9720257521e-01 7.6461052674e-04 7.6461052674e-04
 0.000    0.900   60.0   120.0 9.9840521812e-01 4.5993884815e-04 4.5993884815e-04
 0.900    1.200   60.0   120.0 9.9903106689e-01 7.6841081265e-04 7.6841081265e-04
 1.200    2.100   60.0   120.0 9.9905633926e-01 4.5571424544e-04 4.5571424544e-04
 2.100    2.400   60.0   120.0 1.0011845827e+00 1.1360423061e-03 1.1360423061e-03
