eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.8128116131e-01 2.2513459281e-03 2.2513459281e-03
 0.900    1.200   20.0    25.0 9.9691385031e-01 3.5235962839e-03 3.5235962839e-03
 1.200    2.100   20.0    25.0 9.9366575480e-01 1.6661214271e-03 1.6661214271e-03
 2.100    2.400   20.0    25.0 9.9348187447e-01 2.8444697765e-03 2.8444697765e-03
 0.000    0.900   25.0    30.0 9.9219232798e-01 1.2024006930e-03 1.2024006930e-03
 0.900    1.200   25.0    30.0 9.9980145693e-01 2.0675655231e-03 2.0675655231e-03
 1.200    2.100   25.0    30.0 9.9797797203e-01 9.9601055958e-04 9.9601055958e-04
 2.100    2.400   25.0    30.0 9.9862265587e-01 1.7366926822e-03 1.7366926822e-03
 0.000    0.900   30.0    40.0 9.9338167906e-01 3.9080340701e-04 3.9080340701e-04
 0.900    1.200   30.0    40.0 9.9932318926e-01 6.9964449719e-04 6.9964449719e-04
 1.200    2.100   30.0    40.0 9.9896335602e-01 3.7804431297e-04 3.7804431297e-04
 2.100    2.400   30.0    40.0 9.9954742193e-01 6.9038177005e-04 6.9038177005e-04
 0.000    0.900   40.0    50.0 9.9512863159e-01 3.2584038114e-02 3.2584038114e-02
 0.900    1.200   40.0    50.0 9.9810481071e-01 8.7233835858e-06 8.7233835858e-06
 1.200    2.100   40.0    50.0 9.9858677387e-01 1.1856672881e-04 1.1856672881e-04
 2.100    2.400   40.0    50.0 1.0000532866e+00 4.3994138881e-04 4.3994138881e-04
 0.000    0.900   50.0    60.0 9.9661183357e-01 3.6978249193e-04 3.6978249193e-04
 0.900    1.200   50.0    60.0 9.9873578548e-01 6.0952562753e-04 6.0952562753e-04
 1.200    2.100   50.0    60.0 9.9865621328e-01 3.3943187425e-04 3.3943187425e-04
 2.100    2.400   50.0    60.0 9.9961739779e-01 7.8261118977e-04 7.8261118977e-04
 0.000    0.900   60.0   120.0 9.9895435572e-01 4.6848657317e-04 4.6848657317e-04
 0.900    1.200   60.0   120.0 9.9896121025e-01 7.8958615938e-04 7.8958615938e-04
 1.200    2.100   60.0   120.0 9.9938005209e-01 4.6036894915e-04 4.6036894915e-04
 2.100    2.400   60.0   120.0 1.0012935400e+00 1.1277538196e-03 1.1277538196e-03
