eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.8114401102e-01 2.2826275273e-03 2.2826275273e-03
 0.900    1.200   20.0    25.0 9.9766170979e-01 3.5629623402e-03 3.5629623402e-03
 1.200    2.100   20.0    25.0 9.9368667603e-01 1.6758755491e-03 1.6758755491e-03
 2.100    2.400   20.0    25.0 9.9423289299e-01 2.8579567205e-03 2.8579567205e-03
 0.000    0.900   25.0    30.0 9.9279123545e-01 1.2204791344e-03 1.2204791344e-03
 0.900    1.200   25.0    30.0 9.9972647429e-01 2.0812812256e-03 2.0812812256e-03
 1.200    2.100   25.0    30.0 9.9796044827e-01 1.0033123822e-03 1.0033123822e-03
 2.100    2.400   25.0    30.0 9.9909794331e-01 1.7457488113e-03 1.7457488113e-03
 0.000    0.900   30.0    40.0 9.9345248938e-01 3.9603820524e-04 3.9603820524e-04
 0.900    1.200   30.0    40.0 9.9959838390e-01 7.0503134247e-04 7.0503134247e-04
 1.200    2.100   30.0    40.0 9.9897992611e-01 3.7965236827e-04 3.7965236827e-04
 2.100    2.400   30.0    40.0 1.0000627041e+00 6.9181334031e-04 6.9181334031e-04
 0.000    0.900   40.0    50.0 9.9519950151e-01 1.3021368202e-04 1.3021368202e-04
 0.900    1.200   40.0    50.0 9.9832403660e-01 2.9969097187e-04 2.9969097187e-04
 1.200    2.100   40.0    50.0 9.9860274792e-01 8.1211376892e-06 8.1211376892e-06
 2.100    2.400   40.0    50.0 1.0002207756e+00 2.5958343928e-04 2.5958343928e-04
 0.000    0.900   50.0    60.0 9.9671614170e-01 3.7370197001e-04 3.7370197001e-04
 0.900    1.200   50.0    60.0 9.9888718128e-01 6.1135234187e-04 6.1135234187e-04
 1.200    2.100   50.0    60.0 9.9879956245e-01 3.4043197143e-04 3.4043197143e-04
 2.100    2.400   50.0    60.0 1.0000028610e+00 7.8673098262e-04 7.8673098262e-04
 0.000    0.900   60.0   120.0 9.9906390905e-01 4.7204355564e-04 4.7204355564e-04
 0.900    1.200   60.0   120.0 9.9890768528e-01 7.9402854545e-04 7.9402854545e-04
 1.200    2.100   60.0   120.0 9.9945312738e-01 4.6071707360e-04 4.6071707360e-04
 2.100    2.400   60.0   120.0 1.0015293360e+00 1.1228941032e-03 1.1228941032e-03
