label,vars,var0_min,var0_max,var1_min,var1_max,value,stat_up,stat_down,syst_up,syst_down
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-2.33333333333333348136e+00,-2.10000000000000008882e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-2.10000000000000008882e+00,-1.80000000000000004441e+00,3.49221106558698146660e-01,3.09556455671781659278e-02,3.09556455671781659278e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-1.80000000000000004441e+00,-1.56600000000000005862e+00,5.61483501190432221506e-01,6.20754122911429742637e-02,6.20754122911429742637e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-1.56600000000000005862e+00,-1.44419999999999992824e+00,7.52127779894007919559e-01,1.12260307561429545364e-01,1.12260307561429545364e-01,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-1.44419999999999992824e+00,-1.10000000000000008882e+00,4.09854717200753893014e-01,4.09165029879417427305e-02,4.09165029879417427305e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-1.10000000000000008882e+00,-8.00000000000000044409e-01,5.82906793053189709042e-01,4.52694229059596373044e-02,4.52694229059596373044e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-8.00000000000000044409e-01,-5.99999999999999977796e-01,8.16968926772199344200e-01,8.42736126523036810365e-02,8.42736126523036810365e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-5.99999999999999977796e-01,-4.00000000000000022204e-01,9.00927634978051283809e-01,1.02163511753598806875e-01,1.02163511753598806875e-01,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-4.00000000000000022204e-01,-2.00000000000000011102e-01,9.22412982938120129539e-01,9.11944004705298322255e-02,9.11944004705298322255e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,-2.00000000000000011102e-01,0.00000000000000000000e+00,9.76215352071750031016e-01,1.10868582801685849892e-01,1.10868582801685849892e-01,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,0.00000000000000000000e+00,2.00000000000000011102e-01,8.75134734531245683797e-01,9.70311173704549584373e-02,9.70311173704549584373e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,2.00000000000000011102e-01,4.00000000000000022204e-01,6.86853447891974111528e-01,7.60047987489207987899e-02,7.60047987489207987899e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,4.00000000000000022204e-01,5.99999999999999977796e-01,5.62709470979980808103e-01,4.83363323147023293824e-02,4.83363323147023293824e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,5.99999999999999977796e-01,8.00000000000000044409e-01,5.14800634208937624159e-01,4.69162670530865535956e-02,4.69162670530865535956e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,8.00000000000000044409e-01,1.10000000000000008882e+00,4.11588445805400993116e-01,3.52719588880296835987e-02,3.52719588880296835987e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,1.10000000000000008882e+00,1.44419999999999992824e+00,2.42016417153768231829e-01,2.25546705768055327779e-02,2.25546705768055327779e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,1.44419999999999992824e+00,1.56600000000000005862e+00,4.37558550541152058155e-01,6.54853026153837947110e-02,6.54853026153837947110e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
Ele25_eta2p1_WPTight_Gsf,pt_eta,1.66666666666666642982e+01,2.50000000000000000000e+01,1.56600000000000005862e+00,1.80000000000000004441e+00,3.79687316740839275742e-01,4.22023425539369001491e-02,4.22023425539369001491e-02,0.00000000000000000000e+00,0.00000000000000000000e+00
