eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9885445833e-01 2.6204592247e-03 2.6204592247e-03
 0.900    1.200   20.0    25.0 1.0004130602e+00 3.1517648880e-03 3.1517648880e-03
 1.200    2.100   20.0    25.0 1.0006859303e+00 1.4988012080e-03 1.4988012080e-03
 2.100    2.400   20.0    25.0 9.9899911880e-01 2.4800433089e-03 2.4800433089e-03
 0.000    0.900   25.0    30.0 9.9861776829e-01 9.2741384510e-04 9.2741384510e-04
 0.900    1.200   25.0    30.0 9.9464005232e-01 1.3424818206e-03 1.3424818206e-03
 1.200    2.100   25.0    30.0 9.9884462357e-01 7.2117039616e-04 7.2117039616e-04
 2.100    2.400   25.0    30.0 9.9529671669e-01 1.2724560742e-03 1.2724560742e-03
 0.000    0.900   30.0    40.0 9.9960368872e-01 2.3491164589e-04 2.3491164589e-04
 0.900    1.200   30.0    40.0 9.9663287401e-01 1.0365538818e-03 1.0365538818e-03
 1.200    2.100   30.0    40.0 9.9989032745e-01 2.3225503483e-04 2.3225503483e-04
 2.100    2.400   30.0    40.0 9.9416464567e-01 4.6212267900e-04 4.6212267900e-04
 0.000    0.900   40.0    50.0 1.0000452995e+00 1.3462857649e-04 1.3462857649e-04
 0.900    1.200   40.0    50.0 9.9684637785e-01 2.6384434670e-04 2.6384434670e-04
 1.200    2.100   40.0    50.0 1.0013058186e+00 1.9380557139e-04 1.9380557139e-04
 2.100    2.400   40.0    50.0 9.9588549137e-01 1.9996788688e-03 1.9996788688e-03
 0.000    0.900   50.0    60.0 9.9646395445e-01 7.1356582838e-04 7.1356582838e-04
 0.900    1.200   50.0    60.0 9.9474465847e-01 9.9383944471e-04 9.9383944471e-04
 1.200    2.100   50.0    60.0 9.9704360962e-01 7.5210377825e-04 7.5210377825e-04
 2.100    2.400   50.0    60.0 9.9504709244e-01 1.9241766144e-03 1.9241766144e-03
 0.000    0.900   60.0   120.0 1.0010186434e+00 1.0420100587e-03 1.0420100587e-03
 0.900    1.200   60.0   120.0 9.9416542053e-01 2.4941287329e-03 2.4941287329e-03
 1.200    2.100   60.0   120.0 1.0006395578e+00 1.7810720272e-03 1.7810720272e-03
 2.100    2.400   60.0   120.0 9.9406868219e-01 5.0415362432e-03 5.0415362432e-03
