eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9185061455e-01 2.8818527638e-03 2.8818527638e-03
 0.900    1.200   20.0    25.0 9.8745375872e-01 3.2920758295e-03 3.2920758295e-03
 1.200    2.100   20.0    25.0 9.8238998652e-01 1.6475710521e-03 1.6475710521e-03
 2.100    2.400   20.0    25.0 9.4094705582e-01 2.7989046372e-03 2.7989046372e-03
 0.000    0.900   25.0    30.0 9.9198776484e-01 1.6518798430e-02 1.6518798430e-02
 0.900    1.200   25.0    30.0 9.8391902447e-01 1.4636275148e-03 1.4636275148e-03
 1.200    2.100   25.0    30.0 9.8164337873e-01 7.8547532246e-04 7.8547532246e-04
 2.100    2.400   25.0    30.0 9.3956857920e-01 1.5977931418e-03 1.5977931418e-03
 0.000    0.900   30.0    40.0 9.9767154455e-01 2.7511047634e-04 2.7511047634e-04
 0.900    1.200   30.0    40.0 9.8965674639e-01 1.3971706420e-03 1.3971706420e-03
 1.200    2.100   30.0    40.0 9.8475593328e-01 1.8388381581e-02 1.8388381581e-02
 2.100    2.400   30.0    40.0 9.4038790464e-01 8.5722787634e-04 8.5722787634e-04
 0.000    0.900   40.0    50.0 9.9432951212e-01 2.1722738029e-04 2.1722738029e-04
 0.900    1.200   40.0    50.0 9.9156963825e-01 3.5501791775e-04 3.5501791775e-04
 1.200    2.100   40.0    50.0 9.8907089233e-01 2.4719507758e-04 2.4719507758e-04
 2.100    2.400   40.0    50.0 9.4278669357e-01 8.3997417110e-04 8.3997417110e-04
 0.000    0.900   50.0    60.0 9.9090021849e-01 7.7069755616e-04 7.7069755616e-04
 0.900    1.200   50.0    60.0 9.9092763662e-01 1.1086452294e-03 1.1086452294e-03
 1.200    2.100   50.0    60.0 9.8752743006e-01 8.1421007417e-04 8.1421007417e-04
 2.100    2.400   50.0    60.0 9.4348883629e-01 2.5409738743e-03 2.5409738743e-03
 0.000    0.900   60.0   120.0 1.0038774014e+00 1.9366817228e-03 1.9366817228e-03
 0.900    1.200   60.0   120.0 9.9041855335e-01 2.5800780278e-03 2.5800780278e-03
 1.200    2.100   60.0   120.0 9.9104815722e-01 1.9613155813e-03 1.9613155813e-03
 2.100    2.400   60.0   120.0 9.4785922766e-01 5.4399635920e-03 5.4399635920e-03
