eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 1.0012034178e+00 2.4989488904e-03 2.4989488904e-03
 0.900    1.200   20.0    25.0 1.0000239611e+00 3.3164808384e-03 3.3164808384e-03
 1.200    2.100   20.0    25.0 9.9707907438e-01 1.7952011509e-03 1.7952011509e-03
 2.100    2.400   20.0    25.0 9.8325562477e-01 1.0266470357e-02 1.0266470357e-02
 0.000    0.900   25.0    30.0 9.9538725615e-01 1.4425164392e-03 1.4425164392e-03
 0.900    1.200   25.0    30.0 9.9806934595e-01 1.0818004910e-02 1.0818004910e-02
 1.200    2.100   25.0    30.0 9.9659931660e-01 8.4091445227e-04 8.4091445227e-04
 2.100    2.400   25.0    30.0 9.7892373800e-01 1.4775539330e-03 1.4775539330e-03
 0.000    0.900   30.0    40.0 1.0012872219e+00 3.9854736652e-04 3.9854736652e-04
 0.900    1.200   30.0    40.0 9.9711233377e-01 1.8525107751e-03 1.8525107751e-03
 1.200    2.100   30.0    40.0 9.9753898382e-01 5.9074047534e-03 5.9074047534e-03
 2.100    2.400   30.0    40.0 9.7378599644e-01 3.9074974932e-02 3.9074974932e-02
 0.000    0.900   40.0    50.0 9.9891996384e-01 2.0259485583e-04 2.0259485583e-04
 0.900    1.200   40.0    50.0 9.9770408869e-01 3.3150862689e-04 3.3150862689e-04
 1.200    2.100   40.0    50.0 9.9612838030e-01 2.1417839842e-04 2.1417839842e-04
 2.100    2.400   40.0    50.0 9.7482067347e-01 8.5060752279e-04 8.5060752279e-04
 0.000    0.900   50.0    60.0 9.9339842796e-01 6.2196907705e-04 6.2196907705e-04
 0.900    1.200   50.0    60.0 9.9342876673e-01 1.1659490252e-03 1.1659490252e-03
 1.200    2.100   50.0    60.0 9.9103629589e-01 3.1302959305e-03 3.1302959305e-03
 2.100    2.400   50.0    60.0 9.7025185823e-01 2.3134502172e-03 2.3134502172e-03
 0.000    0.900   60.0   120.0 1.0006190538e+00 1.4755225313e-03 1.4755225313e-03
 0.900    1.200   60.0   120.0 9.9865204096e-01 2.7414727104e-03 2.7414727104e-03
 1.200    2.100   60.0   120.0 9.9508464336e-01 8.1175418749e-03 8.1175418749e-03
 2.100    2.400   60.0   120.0 9.7063010931e-01 5.1805691807e-03 5.1805691807e-03
