eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9317336082e-01 2.6424654156e-03 2.6424654156e-03
 0.900    1.200   20.0    25.0 9.8559600115e-01 1.5529273682e-02 1.5529273682e-02
 1.200    2.100   20.0    25.0 9.9086266756e-01 1.8708669398e-03 1.8708669398e-03
 2.100    2.400   20.0    25.0 9.8150098324e-01 3.0917059417e-03 3.0917059417e-03
 0.000    0.900   25.0    30.0 9.8699027300e-01 4.6316210900e-02 4.6316210900e-02
 0.900    1.200   25.0    30.0 9.8468559980e-01 1.6991535312e-03 1.6991535312e-03
 1.200    2.100   25.0    30.0 9.9091666937e-01 9.4109339489e-04 9.4109339489e-04
 2.100    2.400   25.0    30.0 9.7910904884e-01 5.3287133666e-02 5.3287133666e-02
 0.000    0.900   30.0    40.0 9.8759585619e-01 3.6867133891e-04 3.6867133891e-04
 0.900    1.200   30.0    40.0 9.8391431570e-01 5.9994734093e-04 5.9994734093e-04
 1.200    2.100   30.0    40.0 9.9206626415e-01 2.0594153383e-02 2.0594153383e-02
 2.100    2.400   30.0    40.0 9.7152626514e-01 2.0419932839e-03 2.0419932839e-03
 0.000    0.900   40.0    50.0 9.8977679014e-01 2.9982315926e-04 2.9982315926e-04
 0.900    1.200   40.0    50.0 9.8326486349e-01 4.6680889831e-04 4.6680889831e-04
 1.200    2.100   40.0    50.0 9.9384677410e-01 2.7438759114e-04 2.7438759114e-04
 2.100    2.400   40.0    50.0 9.7477567196e-01 6.0832643216e-03 6.0832643216e-03
 0.000    0.900   50.0    60.0 9.8474919796e-01 7.8522020514e-04 7.8522020514e-04
 0.900    1.200   50.0    60.0 9.8058211803e-01 1.4234636430e-03 1.4234636430e-03
 1.200    2.100   50.0    60.0 9.8565465212e-01 1.0187891269e-03 1.0187891269e-03
 2.100    2.400   50.0    60.0 9.6765124798e-01 2.8166924892e-03 2.8166924892e-03
 0.000    0.900   60.0   120.0 9.9136954546e-01 1.6263424833e-03 1.6263424833e-03
 0.900    1.200   60.0   120.0 9.8387926817e-01 2.9682525831e-03 2.9682525831e-03
 1.200    2.100   60.0   120.0 9.8858398199e-01 2.3797375079e-03 2.3797375079e-03
 2.100    2.400   60.0   120.0 9.6319884062e-01 5.7180578893e-03 5.7180578893e-03
