eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9480926991e-01 1.5548924140e-03 1.5548924140e-03
 0.900    1.200   20.0    25.0 9.9635714293e-01 2.4153751549e-03 2.4153751549e-03
 1.200    2.100   20.0    25.0 9.9896675348e-01 1.0944567187e-03 1.0944567187e-03
 2.100    2.400   20.0    25.0 9.9330484867e-01 1.8879319245e-03 1.8879319245e-03
 0.000    0.900   25.0    30.0 9.9834805727e-01 7.7911459523e-04 7.7911459523e-04
 0.900    1.200   25.0    30.0 1.0005774498e+00 1.3428799029e-03 1.3428799029e-03
 1.200    2.100   25.0    30.0 1.0007054806e+00 6.6670288345e-04 6.6670288345e-04
 2.100    2.400   25.0    30.0 9.9904370308e-01 1.0860012223e-03 1.0860012223e-03
 0.000    0.900   30.0    40.0 9.9901241064e-01 2.2928046771e-04 2.2928046771e-04
 0.900    1.200   30.0    40.0 1.0002254248e+00 4.2884858076e-04 4.2884858076e-04
 1.200    2.100   30.0    40.0 1.0006344318e+00 2.3774865269e-04 2.3774865269e-04
 2.100    2.400   30.0    40.0 9.9923783541e-01 4.1232597831e-04 4.1232597831e-04
 0.000    0.900   40.0    50.0 9.9896919727e-01 5.8649003022e-05 5.8649003022e-05
 0.900    1.200   40.0    50.0 9.9903959036e-01 1.7448881952e-04 1.7448881952e-04
 1.200    2.100   40.0    50.0 9.9948793650e-01 5.0151296660e-06 5.0151296660e-06
 2.100    2.400   40.0    50.0 9.9963265657e-01 2.2221601695e-04 2.2221601695e-04
 0.000    0.900   50.0    60.0 9.9942249060e-01 1.8516032478e-04 1.8516032478e-04
 0.900    1.200   50.0    60.0 1.0001147985e+00 3.2375983440e-04 3.2375983440e-04
 1.200    2.100   50.0    60.0 9.9945843220e-01 1.8873384304e-04 1.8873384304e-04
 2.100    2.400   50.0    60.0 9.9921602011e-01 4.2601575518e-04 4.2601575518e-04
 0.000    0.900   60.0   120.0 9.9981492758e-01 2.7179464376e-04 2.7179464376e-04
 0.900    1.200   60.0   120.0 1.0001126528e+00 4.7689507399e-04 4.7689507399e-04
 1.200    2.100   60.0   120.0 9.9943095446e-01 2.8801089972e-04 2.8801089972e-04
 2.100    2.400   60.0   120.0 9.9995023012e-01 7.1806519701e-04 7.1806519701e-04
