eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9137932062e-01 1.6222606678e-03 1.6222606678e-03
 0.900    1.200   20.0    25.0 9.9830728769e-01 2.4431368165e-03 2.4431368165e-03
 1.200    2.100   20.0    25.0 1.0005149841e+00 1.0918273193e-03 1.0918273193e-03
 2.100    2.400   20.0    25.0 1.0006941557e+00 1.8560867258e-03 1.8560867258e-03
 0.000    0.900   25.0    30.0 9.9811512232e-01 7.9785472257e-04 7.9785472257e-04
 0.900    1.200   25.0    30.0 1.0003629923e+00 1.4019958096e-03 1.4019958096e-03
 1.200    2.100   25.0    30.0 1.0021071434e+00 6.3244570032e-04 6.3244570032e-04
 2.100    2.400   25.0    30.0 1.0038812160e+00 1.0619580292e-03 1.0619580292e-03
 0.000    0.900   30.0    40.0 9.9851369858e-01 2.3543351254e-04 2.3543351254e-04
 0.900    1.200   30.0    40.0 1.0004063845e+00 4.2868453500e-04 4.2868453500e-04
 1.200    2.100   30.0    40.0 1.0011043549e+00 2.3410308263e-04 2.3410308263e-04
 2.100    2.400   30.0    40.0 1.0009872913e+00 4.0359068031e-04 4.0359068031e-04
 0.000    0.900   40.0    50.0 9.9916321039e-01 1.0620497279e-04 1.0620497279e-04
 0.900    1.200   40.0    50.0 9.9950236082e-01 4.6450256238e-06 4.6450256238e-06
 1.200    2.100   40.0    50.0 9.9963861704e-01 2.1124803760e-06 2.1124803760e-06
 2.100    2.400   40.0    50.0 1.0003851652e+00 1.8349947872e-04 1.8349947872e-04
 0.000    0.900   50.0    60.0 9.9964427948e-01 1.8790795220e-04 1.8790795220e-04
 0.900    1.200   50.0    60.0 9.9950492382e-01 3.3390183582e-04 3.3390183582e-04
 1.200    2.100   50.0    60.0 9.9976074696e-01 1.8720637151e-04 1.8720637151e-04
 2.100    2.400   50.0    60.0 9.9992817640e-01 4.4079618624e-04 4.4079618624e-04
 0.000    0.900   60.0   120.0 9.9987846613e-01 2.7015827010e-04 2.7015827010e-04
 0.900    1.200   60.0   120.0 9.9998128414e-01 4.7905728175e-04 4.7905728175e-04
 1.200    2.100   60.0   120.0 9.9966794252e-01 2.8615512065e-04 2.8615512065e-04
 2.100    2.400   60.0   120.0 1.0005878210e+00 7.2129421566e-04 7.2129421566e-04
