eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9165654182e-01 1.6402682160e-03 1.6402682160e-03
 0.900    1.200   20.0    25.0 9.9858403206e-01 2.4258362392e-03 2.4258362392e-03
 1.200    2.100   20.0    25.0 1.0004872084e+00 1.1072437916e-03 1.1072437916e-03
 2.100    2.400   20.0    25.0 1.0006713867e+00 1.8720716287e-03 1.8720716287e-03
 0.000    0.900   25.0    30.0 9.9826294184e-01 8.0817776477e-04 8.0817776477e-04
 0.900    1.200   25.0    30.0 1.0004571676e+00 1.4105532303e-03 1.4105532303e-03
 1.200    2.100   25.0    30.0 1.0020796061e+00 6.3753206998e-04 6.3753206998e-04
 2.100    2.400   25.0    30.0 1.0039862394e+00 1.0739411003e-03 1.0739411003e-03
 0.000    0.900   30.0    40.0 9.9862158298e-01 2.3734616580e-04 2.3734616580e-04
 0.900    1.200   30.0    40.0 1.0006163120e+00 4.2803529080e-04 4.2803529080e-04
 1.200    2.100   30.0    40.0 1.0010749102e+00 2.3517101924e-04 2.3517101924e-04
 2.100    2.400   30.0    40.0 1.0011547804e+00 4.0749562470e-04 4.0749562470e-04
 0.000    0.900   40.0    50.0 9.9915689230e-01 1.0635923020e-04 1.0635923020e-04
 0.900    1.200   40.0    50.0 9.9967348576e-01 4.7334606204e-03 4.7334606204e-03
 1.200    2.100   40.0    50.0 9.9970418215e-01 5.6519941739e-05 5.6519941739e-05
 2.100    2.400   40.0    50.0 1.0004130602e+00 1.2577494253e-04 1.2577494253e-04
 0.000    0.900   50.0    60.0 9.9966627359e-01 1.8744226587e-04 1.8744226587e-04
 0.900    1.200   50.0    60.0 9.9968343973e-01 3.2106298176e-04 3.2106298176e-04
 1.200    2.100   50.0    60.0 9.9985295534e-01 1.8109627873e-04 1.8109627873e-04
 2.100    2.400   50.0    60.0 9.9993485212e-01 4.4403906215e-04 4.4403906215e-04
 0.000    0.900   60.0   120.0 9.9993020296e-01 2.6690517650e-04 2.6690517650e-04
 0.900    1.200   60.0   120.0 9.9989008904e-01 4.6880915460e-04 4.6880915460e-04
 1.200    2.100   60.0   120.0 9.9971616268e-01 2.7721252056e-04 2.7721252056e-04
 2.100    2.400   60.0   120.0 1.0006691217e+00 7.1746461963e-04 7.1746461963e-04
