eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.8772329092e-01 2.2356653227e-03 2.2356653227e-03
 0.900    1.200   20.0    25.0 9.9316215515e-01 3.5698061482e-03 3.5698061482e-03
 1.200    2.100   20.0    25.0 9.8971676826e-01 1.6839801016e-03 1.6839801016e-03
 2.100    2.400   20.0    25.0 9.7534084320e-01 2.9448585792e-03 2.9448585792e-03
 0.000    0.900   25.0    30.0 9.9373322725e-01 1.1902674024e-03 1.1902674024e-03
 0.900    1.200   25.0    30.0 1.0010036230e+00 2.0526324266e-03 2.0526324266e-03
 1.200    2.100   25.0    30.0 9.9422317743e-01 9.9467467227e-04 9.9467467227e-04
 2.100    2.400   25.0    30.0 9.8596107960e-01 1.7622481712e-03 1.7622481712e-03
 0.000    0.900   30.0    40.0 9.9405193329e-01 3.8513112500e-04 3.8513112500e-04
 0.900    1.200   30.0    40.0 9.9929535389e-01 6.9910846478e-04 6.9910846478e-04
 1.200    2.100   30.0    40.0 9.9713361263e-01 3.8062420985e-04 3.8062420985e-04
 2.100    2.400   30.0    40.0 9.9308341742e-01 6.8748737913e-04 6.8748737913e-04
 0.000    0.900   40.0    50.0 9.9537754059e-01 2.1463779964e-04 2.1463779964e-04
 0.900    1.200   40.0    50.0 9.9717932940e-01 5.3313075991e-06 5.3313075991e-06
 1.200    2.100   40.0    50.0 9.9753057957e-01 1.5930789045e-04 1.5930789045e-04
 2.100    2.400   40.0    50.0 9.9676978588e-01 4.3747260731e-04 4.3747260731e-04
 0.000    0.900   50.0    60.0 9.9687814713e-01 3.6260675006e-04 3.6260675006e-04
 0.900    1.200   50.0    60.0 9.9935412407e-01 5.9941805557e-04 5.9941805557e-04
 1.200    2.100   50.0    60.0 9.9797189236e-01 3.3809568517e-04 3.3809568517e-04
 2.100    2.400   50.0    60.0 9.9745637178e-01 7.6585574386e-04 7.6585574386e-04
 0.000    0.900   60.0   120.0 9.9854803085e-01 4.6334494453e-04 4.6334494453e-04
 0.900    1.200   60.0   120.0 9.9929744005e-01 7.7099658663e-04 7.7099658663e-04
 1.200    2.100   60.0   120.0 9.9901682138e-01 4.5600100898e-04 4.5600100898e-04
 2.100    2.400   60.0   120.0 1.0015169382e+00 1.1264006814e-03 1.1264006814e-03
