eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   26.0    30.0 9.8698073626e-01 1.0367296534e-03 1.0367296534e-03
 0.900    1.200   26.0    30.0 9.6284025908e-01 2.3320538281e-03 2.3320538281e-03
 1.200    2.100   26.0    30.0 9.8391956091e-01 1.9031680367e-03 1.9031680367e-03
 2.100    2.400   26.0    30.0 9.1388493776e-01 4.0350651418e-03 4.0350651418e-03
 0.000    0.900   30.0    40.0 9.9104750156e-01 3.3384056785e-04 3.3384056785e-04
 0.900    1.200   30.0    40.0 9.7189581394e-01 5.8045530922e-04 5.8045530922e-04
 1.200    2.100   30.0    40.0 9.9654984474e-01 6.3172115157e-04 6.3172115157e-04
 2.100    2.400   30.0    40.0 9.4863444567e-01 1.4192255291e-03 1.4192255291e-03
 0.000    0.900   40.0    50.0 9.9259555340e-01 2.5684990571e-04 2.5684990571e-04
 0.900    1.200   40.0    50.0 9.7460442781e-01 3.8119362881e-04 3.8119362881e-04
 1.200    2.100   40.0    50.0 1.0021325350e+00 4.3623277249e-04 4.3623277249e-04
 2.100    2.400   40.0    50.0 9.6296375990e-01 1.1255368180e-03 1.1255368180e-03
 0.000    0.900   50.0    60.0 9.9201792479e-01 5.5957406698e-04 5.5957406698e-04
 0.900    1.200   50.0    60.0 9.7539770603e-01 7.6633294489e-04 7.6633294489e-04
 1.200    2.100   50.0    60.0 1.0024102926e+00 8.9886689447e-04 8.9886689447e-04
 2.100    2.400   50.0    60.0 9.6706914902e-01 2.3472448988e-03 2.3472448988e-03
 0.000    0.900   60.0   120.0 9.9324327707e-01 8.2859819391e-04 8.2859819391e-04
 0.900    1.200   60.0   120.0 9.7094821930e-01 1.5313780212e-03 1.5313780212e-03
 1.200    2.100   60.0   120.0 1.0031641722e+00 1.4509836979e-03 1.4509836979e-03
 2.100    2.400   60.0   120.0 9.6278434992e-01 3.7436150275e-03 3.7436150275e-03
 0.000    0.900  120.0   200.0 9.8139256239e-01 4.0373365280e-03 4.0373365280e-03
 0.900    1.200  120.0   200.0 9.5443928242e-01 4.8430947222e-03 4.8430947222e-03
 1.200    2.100  120.0   200.0 1.0050915480e+00 6.6083877936e-03 6.6083877936e-03
 2.100    2.400  120.0   200.0 9.8311495781e-01 2.3374522845e-02 2.3374522845e-02
 0.000    0.900  200.0   500.0 9.9389380217e-01 9.8381545930e-03 9.8381545930e-03
 0.900    1.200  200.0   500.0 9.7712832689e-01 1.4658818761e-02 1.4658818761e-02
 1.200    2.100  200.0   500.0 9.9842613935e-01 1.8870665505e-02 1.8870665505e-02
 2.100    2.400  200.0   500.0 9.3594861031e-01 6.1483848379e-02 6.1483848379e-02
