eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   26.0    30.0 9.7493040562e-01 9.8389723528e-04 9.8389723528e-04
 0.900    1.200   26.0    30.0 9.5100843906e-01 2.1665694536e-03 2.1665694536e-03
 1.200    2.100   26.0    30.0 9.8134326935e-01 1.8018514476e-03 1.8018514476e-03
 2.100    2.400   26.0    30.0 8.9993190765e-01 3.7270204981e-03 3.7270204981e-03
 0.000    0.900   30.0    40.0 9.7840023041e-01 3.2293650433e-04 3.2293650433e-04
 0.900    1.200   30.0    40.0 9.6109539270e-01 5.6661760601e-04 5.6661760601e-04
 1.200    2.100   30.0    40.0 9.9460422993e-01 6.0772047300e-04 6.0772047300e-04
 2.100    2.400   30.0    40.0 9.4121319056e-01 1.3595403974e-03 1.3595403974e-03
 0.000    0.900   40.0    50.0 9.7860193253e-01 2.5179659919e-04 2.5179659919e-04
 0.900    1.200   40.0    50.0 9.6233093739e-01 3.7636996287e-04 3.7636996287e-04
 1.200    2.100   40.0    50.0 9.9679666758e-01 4.2216027968e-04 4.2216027968e-04
 2.100    2.400   40.0    50.0 9.5308166742e-01 1.0850750276e-03 1.0850750276e-03
 0.000    0.900   50.0    60.0 9.7947162390e-01 5.4946109785e-04 5.4946109785e-04
 0.900    1.200   50.0    60.0 9.6225708723e-01 7.9685297988e-04 7.9685297988e-04
 1.200    2.100   50.0    60.0 9.9642503262e-01 8.9399794857e-04 8.9399794857e-04
 2.100    2.400   50.0    60.0 9.5493060350e-01 2.3442639114e-03 2.3442639114e-03
 0.000    0.900   60.0   120.0 9.7623920441e-01 9.8772988008e-04 9.8772988008e-04
 0.900    1.200   60.0   120.0 9.5994085073e-01 1.2963487915e-03 1.2963487915e-03
 1.200    2.100   60.0   120.0 9.9547278881e-01 1.4161203059e-03 1.4161203059e-03
 2.100    2.400   60.0   120.0 9.4390910864e-01 3.8110070933e-03 3.8110070933e-03
 0.000    0.900  120.0   200.0 9.7163736820e-01 5.7816574577e-03 5.7816574577e-03
 0.900    1.200  120.0   200.0 9.4040215015e-01 6.5035576550e-03 6.5035576550e-03
 1.200    2.100  120.0   200.0 1.0058729649e+00 9.0427238542e-03 9.0427238542e-03
 2.100    2.400  120.0   200.0 9.7200661898e-01 3.7981049975e-02 3.7981049975e-02
 0.000    0.900  200.0   500.0 9.7459065914e-01 8.5950398154e-03 8.5950398154e-03
 0.900    1.200  200.0   500.0 9.2705470324e-01 1.9906367436e-02 1.9906367436e-02
 1.200    2.100  200.0   500.0 9.7000330687e-01 3.0506555574e-02 3.0506555574e-02
 2.100    2.400  200.0   500.0 9.0348124504e-01 2.7585130083e-01 2.7585130083e-01
