eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 1.0012140274e+00 1.2534853221e-03 1.2534853221e-03
 0.900    1.200   20.0    25.0 1.0016283989e+00 1.5093968595e-03 1.5093968595e-03
 1.200    2.100   20.0    25.0 1.0004951954e+00 1.7643238405e-03 1.7643238405e-03
 2.100    2.400   20.0    25.0 1.0035387278e+00 1.9841409511e-03 1.9841409511e-03
 0.000    0.900   25.0    30.0 9.9851566553e-01 9.1321498209e-04 9.1321498209e-04
 0.900    1.200   25.0    30.0 1.0021028519e+00 1.4162454120e-03 1.4162454120e-03
 1.200    2.100   25.0    30.0 1.0007121563e+00 7.7686390261e-04 7.7686390261e-04
 2.100    2.400   25.0    30.0 9.9824553728e-01 1.2508108298e-03 1.2508108298e-03
 0.000    0.900   30.0    40.0 9.9964386225e-01 2.1840068956e-04 2.1840068956e-04
 0.900    1.200   30.0    40.0 1.0003057718e+00 3.7654284424e-04 3.7654284424e-04
 1.200    2.100   30.0    40.0 1.0007799864e+00 8.1515823240e-05 8.1515823240e-05
 2.100    2.400   30.0    40.0 9.9441057444e-01 8.6343418659e-03 8.6343418659e-03
 0.000    0.900   40.0    50.0 1.0016154051e+00 1.3376974281e-04 1.3376974281e-04
 0.900    1.200   40.0    50.0 1.0007940531e+00 2.6060172552e-04 2.6060172552e-04
 1.200    2.100   40.0    50.0 9.9985247850e-01 2.2984502189e-04 2.2984502189e-04
 2.100    2.400   40.0    50.0 9.9604362249e-01 4.6341322283e-04 4.6341322283e-04
 0.000    0.900   50.0    60.0 9.9645090103e-01 5.4794724436e-04 5.4794724436e-04
 0.900    1.200   50.0    60.0 9.9643659592e-01 1.0351994171e-03 1.0351994171e-03
 1.200    2.100   50.0    60.0 9.9497735500e-01 8.8600524638e-04 8.8600524638e-04
 2.100    2.400   50.0    60.0 9.9234998226e-01 2.0919418044e-03 2.0919418044e-03
 0.000    0.900   60.0   120.0 1.0010267496e+00 4.3367270680e-04 4.3367270680e-04
 0.900    1.200   60.0   120.0 1.0007767677e+00 1.6885658775e-03 1.6885658775e-03
 1.200    2.100   60.0   120.0 9.9890190363e-01 2.2881776649e-03 2.2881776649e-03
 2.100    2.400   60.0   120.0 9.9453890324e-01 4.9062828186e-03 4.9062828186e-03
