eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
 0.000    0.900   20.0    25.0 9.9423050880e-01 1.5702030783e-03 1.5702030783e-03
 0.900    1.200   20.0    25.0 9.9616819620e-01 2.4351917193e-03 2.4351917193e-03
 1.200    2.100   20.0    25.0 9.9879503250e-01 1.1066003086e-03 1.1066003086e-03
 2.100    2.400   20.0    25.0 9.9269723892e-01 1.9208331107e-03 1.9208331107e-03
 0.000    0.900   25.0    30.0 9.9847275019e-01 7.8929626375e-04 7.8929626375e-04
 0.900    1.200   25.0    30.0 1.0011004210e+00 1.3576418154e-03 1.3576418154e-03
 1.200    2.100   25.0    30.0 1.0006983280e+00 6.7130531911e-04 6.7130531911e-04
 2.100    2.400   25.0    30.0 9.9861139059e-01 1.1025257620e-03 1.1025257620e-03
 0.000    0.900   30.0    40.0 9.9910283089e-01 2.3142452391e-04 2.3142452391e-04
 0.900    1.200   30.0    40.0 1.0003975630e+00 4.2798390978e-04 4.2798390978e-04
 1.200    2.100   30.0    40.0 1.0007021427e+00 2.3788753314e-04 2.3788753314e-04
 2.100    2.400   30.0    40.0 9.9935191870e-01 4.1482831095e-04 4.1482831095e-04
 0.000    0.900   40.0    50.0 9.9898606539e-01 4.3943326031e-06 4.3943326031e-06
 0.900    1.200   40.0    50.0 9.9921798706e-01 8.9912156275e-05 8.9912156275e-05
 1.200    2.100   40.0    50.0 9.9956941605e-01 1.8994425522e-06 1.8994425522e-06
 2.100    2.400   40.0    50.0 9.9979823828e-01 1.3433487235e-04 1.3433487235e-04
 0.000    0.900   50.0    60.0 9.9959254265e-01 1.8398206951e-04 1.8398206951e-04
 0.900    1.200   50.0    60.0 1.0000133514e+00 3.1522612731e-04 3.1522612731e-04
 1.200    2.100   50.0    60.0 9.9950176477e-01 1.8355690483e-04 1.8355690483e-04
 2.100    2.400   50.0    60.0 9.9834555387e-01 2.1375586921e-03 2.1375586921e-03
 0.000    0.900   60.0   120.0 9.9985218048e-01 2.6974977574e-04 2.6974977574e-04
 0.900    1.200   60.0   120.0 1.0001249313e+00 4.6495833398e-04 4.6495833398e-04
 1.200    2.100   60.0   120.0 9.9939393997e-01 2.7958475432e-04 2.7958475432e-04
 2.100    2.400   60.0   120.0 9.9977576733e-01 7.1689159178e-04 7.1689159178e-04
