label,vars,var0_min,var0_max,value,stat_up,stat_down,syst_up,syst_down
VLoose,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
VLoose,pt,20,25,0.90604410000,0.12912000000,0.12912000000,0.00,0.00
VLoose,pt,25,30,0.93049590000,0.05965200000,0.05965200000,0.00,0.00
VLoose,pt,30,35,0.94187490000,0.04670100000,0.04670100000,0.00,0.00
VLoose,pt,35,40,0.86564700000,0.04976900000,0.04976900000,0.00,0.00
VLoose,pt,40,500,0.99439772061,0.04345644576,0.07767013385,0.00,0.00
VLoose,pt,500,10000,0.99439772061,0.00,0.00,0.00,0.00
Loose,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
Loose,pt,20,25,0.94551270000,0.09244000000,0.09244000000,0.00,0.00
Loose,pt,25,30,0.88469710000,0.07157600000,0.07157600000,0.00,0.00
Loose,pt,30,35,0.93780860000,0.03544500000,0.03544500000,0.00,0.00
Loose,pt,35,40,0.90714750000,0.06610610000,0.02978400000,0.00,0.00
Loose,pt,40,500,0.93317687081,0.03749152049,0.03968622110,0.00,0.00
Loose,pt,500,10000,0.93317687081,0.00,0.00,0.00,0.00
Medium,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
Medium,pt,20,25,0.97382060000,0.08664300000,0.08664300000,0.00,0.00
Medium,pt,25,30,0.89085050000,0.04439900000,0.04439900000,0.00,0.00
Medium,pt,30,35,0.92913070000,0.03067100000,0.03067100000,0.00,0.00
Medium,pt,35,40,0.91092520000,0.02685700000,0.02595700000,0.00,0.00
Medium,pt,40,500,0.89185502389,0.03090190482,0.02939404345,0.00,0.00
Medium,pt,500,10000,0.89185592389,0.00,0.00,0.00,0.00
Tight,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
Tight,pt,20,25,0.93780850000,0.06758700000,0.06758700000,0.00,0.00
Tight,pt,25,30,0.91053350000,0.03964400000,0.03964400000,0.00,0.00
Tight,pt,30,35,0.91305420000,0.02891600000,0.02891600000,0.00,0.00
Tight,pt,35,40,0.89600800000,0.02488700000,0.02488700000,0.00,0.00
Tight,pt,40,500,0.92821720806,0.03773753481,0.04103023037,0.00,0.00
Tight,pt,500,10000,0.9281720806,0.00,0.00,0.00,0.00
VTight,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
VTight,pt,20,25,0.93525200000,0.05885500000,0.93525200000,0.00,0.00
VTight,pt,25,30,0.90298050000,0.03277500000,0.02658080000,0.00,0.00
VTight,pt,30,35,0.89986390000,0.02560300000,0.02965840000,0.00,0.00
VTight,pt,35,40,0.88127310000,0.02432500000,0.00701220000,0.00,0.00
VTight,pt,40,500,0.94950702209,0.03580236853,0.09255892209,0.00,0.00
VTight,pt,500,10000,0.94950702209,0.00,0.00,0.00,0.00
VVTight,pt,0,20,0.00000000000,0.00000000000,0.00000000000,0.00,0.00
VVTight,pt,20,25,0.93288700000,0.04570200000,0.03283477164,0.00,0.00
VVTight,pt,25,30,0.89663820000,0.02589100000,0.89663820000,0.00,0.00
VVTight,pt,30,35,0.90249210000,0.02309500000,0.01530710000,0.00,0.00
VVTight,pt,35,40,0.87453230000,0.02513700000,0.00378510000,0.00,0.00
VVTight,pt,40,500,0.90724313227,0.03831695141,0.02784603227,0.00,0.00
VVTight,pt,500,10000,0.90724313227,0.00,0.00,0.00,0.00
